,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_early_stopping,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
54,2.394474649429321,0.07923710994736545,0.023788070678710936,0.002525675055263499,logistic,0.005,True,"(300, 300, 300, 300, 300)",0.0001,300,"{'activation': 'logistic', 'alpha': 0.005, 'early_stopping': True, 'hidden_layer_sizes': (300, 300, 300, 300, 300), 'learning_rate_init': 0.0001, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
55,2.341231679916382,0.013809973983254217,0.02572665214538574,0.004068663225722418,logistic,0.005,True,"(300, 300, 300, 300, 300)",0.001,300,"{'activation': 'logistic', 'alpha': 0.005, 'early_stopping': True, 'hidden_layer_sizes': (300, 300, 300, 300, 300), 'learning_rate_init': 0.001, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
56,2.573884105682373,0.025602065643553676,0.022863197326660156,0.0006385927308778639,logistic,0.005,True,"(300, 300, 300, 300, 300)",0.01,300,"{'activation': 'logistic', 'alpha': 0.005, 'early_stopping': True, 'hidden_layer_sizes': (300, 300, 300, 300, 300), 'learning_rate_init': 0.01, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
57,1.3188068389892578,0.011995053212062613,0.015456104278564453,9.336644464280837e-05,logistic,0.005,True,"(200, 200, 200, 200, 200)",0.0001,300,"{'activation': 'logistic', 'alpha': 0.005, 'early_stopping': True, 'hidden_layer_sizes': (200, 200, 200, 200, 200), 'learning_rate_init': 0.0001, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
58,1.3677944183349608,0.051627351239936434,0.016891670227050782,0.0030789574118378917,logistic,0.005,True,"(200, 200, 200, 200, 200)",0.001,300,"{'activation': 'logistic', 'alpha': 0.005, 'early_stopping': True, 'hidden_layer_sizes': (200, 200, 200, 200, 200), 'learning_rate_init': 0.001, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
59,1.3976439476013183,0.047150112467802735,0.015288543701171876,5.7606862658962205e-05,logistic,0.005,True,"(200, 200, 200, 200, 200)",0.01,300,"{'activation': 'logistic', 'alpha': 0.005, 'early_stopping': True, 'hidden_layer_sizes': (200, 200, 200, 200, 200), 'learning_rate_init': 0.01, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
60,13.232183980941773,5.51887501930176,0.02528038024902344,0.002226427083744659,logistic,0.005,False,"(500, 400, 300, 200, 100)",0.0001,300,"{'activation': 'logistic', 'alpha': 0.005, 'early_stopping': False, 'hidden_layer_sizes': (500, 400, 300, 200, 100), 'learning_rate_init': 0.0001, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
61,8.521583604812623,1.6552220700851201,0.02629079818725586,0.004197041292031578,logistic,0.005,False,"(500, 400, 300, 200, 100)",0.001,300,"{'activation': 'logistic', 'alpha': 0.005, 'early_stopping': False, 'hidden_layer_sizes': (500, 400, 300, 200, 100), 'learning_rate_init': 0.001, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
62,7.086842155456543,2.1623677297622046,0.024136686325073244,9.199554427016151e-05,logistic,0.005,False,"(500, 400, 300, 200, 100)",0.01,300,"{'activation': 'logistic', 'alpha': 0.005, 'early_stopping': False, 'hidden_layer_sizes': (500, 400, 300, 200, 100), 'learning_rate_init': 0.01, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
63,15.47478952407837,6.1287762197328615,0.030094337463378907,0.00013933867138057635,logistic,0.005,False,"(400, 400, 400, 400, 400)",0.0001,300,"{'activation': 'logistic', 'alpha': 0.005, 'early_stopping': False, 'hidden_layer_sizes': (400, 400, 400, 400, 400), 'learning_rate_init': 0.0001, 'max_iter': 300}",0.5478547854785478,0.5478547854785478,0.5496688741721855,0.5463576158940397,0.5463576158940397,0.547618735383472,0.0012243653932556106,1
